open,high,low,close,volume
40.13,40,39.32,39.48,9212092.0
39.27,40,38.91,39.88,9567438.0
39.8,40,39.61,39.975,10647022.0
40.3,41,40.3,41.56,20198313.0
42.92,43,42.24,43.03,15120162.0
42.98,43,42.35,42.725,10701960.0
42.7,42,42.07,42.24,6895903.0
42.65,43,42.2,42.24,8174154.0
42.44,42,41.33,41.44,9819882.0
40.77,41,39.59,39.75,17651705.0
40.2,40,39.93,39.935,11184512.0
40.65,40,37.8,38.8,24907070.0
39.02,39,38.4,39.03,11080020.0
39.09,40,39.08,39.73,9157738.0
39.93,40,39.26,40.675,10375901.0
40.3,40,39.14,39.31,11193029.0
39.84,40,39.655,39.67,8490876.0
40.51,41,40.5,41.21,16451679.0
41.96,42,41.96,42.42,12076978.0
42.04,42,41.29,42.06,12701464.0
41.39,42,40.39,41.54,17922765.0
41.81,42,41.3,41.39,12111338.0
41.45,41,41.241,41.4,9735964.0
41.55,41,40.44,40.55,7645875.0
40.5,41,40.49,40.9,7300014.0
40.96,41,40.96,41.43,8302897.0
42.78,43,42.0,42.61,16579876.0
43.0,43,39.62,39.63,20152599.0
39.63,40,38.9,40.14,12071366.0
40.18,41,40.18,41.17,8186041.0
41.09,41,40.44,40.73,6801435.0
40.58,40,39.92,40.27,5855845.0
40.53,40,39.88,40.1,6955874.0
40.24,41,40.21,41.71,9261863.0
42.15,42,41.88,42.74,13354267.0
42.85,43,42.592,42.96,7581022.0
43.25,43,41.76,42.18,7395473.0
42.21,42,41.4,41.49,5588631.0
41.75,42,41.45,41.68,6860606.0
41.74,43,41.6501,42.7,10378553.0
42.37,42,40.68,42.52,10434817.0
42.76,43,42.27,42.67,6605820.0
42.35,43,42.35,42.88,4857867.0
42.96,44,42.82,43.95,8385397.0
44.06,44,43.24,43.63,6317183.0
43.53,44,43.21,43.53,8373959.0
42.84,43,41.78,41.98,8905660.0
41.4,41,39.75,39.75,16241613.0
36.0,39,34.1,37.62,19612661.0
39.39,39,37.49,37.5,12820340.0
38.77,39,36.97,38.85,15679843.0
39.17,39,37.97,39.03,13793641.0
38.93,39,38.35,38.62,11824990.0
38.63,39,38.62,38.98,12409620.0
38.63,39,38.5,39.2,16042613.0
40.0,41,39.8,41.51,19316788.0
41.84,41,40.78,40.89,9905603.0
40.4,41,40.15,40.6,9738424.0
41.28,41,40.69,40.8,10814770.0
41.15,42,40.6268,41.0,12481224.0
41.39,41,40.71,41.21,9181582.0
41.22,42,41.05,42.15,8635243.0
42.17,42,41.84,42.29,7362535.0
42.36,42,41.89,42.64,7009325.0
42.4,43,42.24,43.06,7703119.0
43.11,44,42.9899,43.99,12835651.0
43.43,44,43.275,43.49,12446861.0
43.72,44,42.88,43.23,6687215.0
42.77,43,40.92,41.19,12483661.0
41.32,41,40.5001,41.24,8248801.0
41.15,41,39.915,40.25,10507272.0
40.93,41,39.92,40.24,7524947.0
39.87,40,38.64,39.08,9635911.0
39.05,39,38.79,39.18,7478790.0
39.18,39,37.72,38.83,15823720.0
38.5,39,37.84,39.2,9175087.0
38.75,38,37.42,38.63,12276284.0
38.9,40,38.82,40.19,9421801.0
39.95,40,38.08,38.13,13031992.0
38.41,39,37.76,39.31,10513746.0
39.21,40,38.7,39.74,8308146.0
40.27,42,40.25,42.42,16835519.0
42.59,43,42.55,43.84,11443308.0
42.7,43,42.52,43.41,13250274.0
44.0,44,43.23,43.8,11125778.0
44.1,44,43.5,44.46,8185398.0
43.95,44,42.86,43.71,11572941.0
43.83,44,43.62,44.45,8934601.0
44.54,45,44.45,44.79,7610771.0
44.49,45,44.09,44.31,6941202.0
44.89,46,44.36,45.99,14444639.0
46.37,46,43.81,45.67,20281404.0
45.36,46,44.99,46.47,11026228.0
46.41,46,45.65,46.46,6824082.0
46.2,46,45.23,45.86,7629738.0
45.63,46,45.21,45.86,5234359.0
45.77,46,45.71,46.22,8589743.0
46.2,46,46.2,46.47,6189311.0
47.02,47,46.08,46.5,6983205.0
46.42,46,45.15,45.63,8081357.0
45.7,45,45.03,45.6,5865538.0
45.51,45,45.05,45.34,11669625.0
45.17,45,44.56,44.65,7214613.0
44.66,45,44.0201,44.49,5935317.0
